name,expr,desc,role
KMID,"Div(Sub($close, $open), $open)",收益率类-日内收益(Alpha158)：收盘相对开盘的涨跌幅，衡量当日盘中资金博弈的净结果，是动量与反转因子的基础构件,response_intensity
KLEN,"Div(Sub($high, $low), $open)",波动率类-日内振幅(Alpha158)：最高最低价差相对开盘价，衡量日内价格波动幅度，值高=多空分歧大、博弈激烈,response_intensity
KMID2,"Div(Sub($close, $open), Add(Sub($high, $low),1e-12))",K线形态类-实体占比(Alpha158)：实体涨跌幅占全日振幅的比例，值高=趋势明确方向性强，值低=十字星形态多空胶着方向不明,state_detection
KUP,"Div(Sub($high, Greater($open, $close)), $open)",K线形态类-上影线比例(Alpha158)：上影线长度相对开盘价，值高=盘中冲高后遭遇较强卖压，反映上方抛压与短期过热,state_detection
KUP2,"Div(Sub($high, Greater($open, $close)), Add(Sub($high, $low),1e-12))",K线形态类-上影线占比(Alpha158)：上影线占全日振幅的比例，值高=盘中冲高后卖压主导，回落幅度占据全日波动的绝大部分,state_detection
KLOW,"Div(Sub(Less($open, $close), $low), $open)",K线形态类-下影线比例(Alpha158)：下影线长度相对开盘价，值高=盘中下探后被资金承接拉起，反映下方支撑与抄底力量,state_detection
KLOW2,"Div(Sub(Less($open, $close), $low), Add(Sub($high, $low),1e-12))",K线形态类-下影线占比(Alpha158)：下影线占全日振幅的比例，值高=盘中下探后资金承接有力，下探部分被完全收回,state_detection
KSFT,"Div(Sub(Add($close, $close), Add($high, $low)), $open)",价格位置类-收盘位置(Alpha158)：收盘在日内高低区间中的相对位置，值高=收盘偏向上沿强势，值低=收盘偏向下沿弱势,state_detection
KSFT2,"Div(Sub(Sub(Mul(2.0, $close), $high), $low), Add(Sub($high, $low),1e-12))",价格位置类-收盘位置归一化(Alpha158)：收盘在日内高低区间中的相对位置（-1到1），值高=收盘偏向上沿强势，值低=收盘偏向下沿弱势，消除振幅量纲影响,state_detection

ROC5,"Div(Ref($close, 5), $close)",价格位置类-5日价格比(Alpha158)：5日前收盘相对当前收盘的比值，<1=近期上涨，>1=近期下跌，衡量价格在短期内的相对位置变化,state_detection
ROC10,"Div(Ref($close, 10), $close)",价格位置类-10日价格比(Alpha158)：10日前收盘相对当前收盘的比值，<1=近期上涨，>1=近期下跌，衡量价格在短期内的相对位置变化,state_detection
ROC20,"Div(Ref($close, 20), $close)",价格位置类-20日价格比(Alpha158)：20日前收盘相对当前收盘的比值，<1=近期上涨，>1=近期下跌，衡量价格在短期内的相对位置变化,state_detection
ROC30,"Div(Ref($close, 30), $close)",价格位置类-30日价格比(Alpha158)：30日前收盘相对当前收盘的比值，<1=近期上涨，>1=近期下跌，衡量价格在短期内的相对位置变化,state_detection
ROC60,"Div(Ref($close, 60), $close)",价格位置类-60日价格比(Alpha158)：60日前收盘相对当前收盘的比值，<1=近期上涨，>1=近期下跌，衡量价格在短期内的相对位置变化,state_detection
MA5,"Div(Mean($close, 5), $close)",价格位置类-5日均价比(Alpha158)：5日均价相对当前收盘的比值，>1=当前价低于短期均线偏弱，<1=当前价高于短期均线偏强,state_detection
MA10,"Div(Mean($close, 10), $close)",价格位置类-10日均价比(Alpha158)：10日均价相对当前收盘的比值，>1=当前价低于短期均线偏弱，<1=当前价高于短期均线偏强,state_detection
MA20,"Div(Mean($close, 20), $close)",价格位置类-20日均价比(Alpha158)：20日均价相对当前收盘的比值，>1=当前价低于短期均线偏弱，<1=当前价高于短期均线偏强,state_detection
MA30,"Div(Mean($close, 30), $close)",价格位置类-30日均价比(Alpha158)：30日均价相对当前收盘的比值，>1=当前价低于短期均线偏弱，<1=当前价高于短期均线偏强,state_detection
MA60,"Div(Mean($close, 60), $close)",价格位置类-60日均价比(Alpha158)：60日均价相对当前收盘的比值，>1=当前价低于短期均线偏弱，<1=当前价高于短期均线偏强,state_detection
